area,date,energy_mwh
ΚΡΗΤΗ,2020-08-08 20:00:00,9539.66
ΡΟΔΟΣ,2020-08-08 20:00:00,2442.9
ΛΕΣΒΟΣ,2020-08-08 20:00:00,878.29
ΚΩΣ - ΚΑΛΥΜΝΟΣ,2020-08-08 20:00:00,1241.679
ΧΙΟΣ ,2020-08-08 20:00:00,604.437
ΣΑΜΟΣ ,2020-08-08 20:00:00,383.346
ΘΗΡΑ,2020-08-08 20:00:00,680.887
ΛΗΜΝΟΣ,2020-08-08 20:00:00,208.307
ΜΗΛΟΣ,2020-08-08 20:00:00,182.807
ΚΑΡΠΑΘΟΣ,2020-08-08 20:00:00,129.322
ΙΚΑΡΙΑ,2020-08-08 20:00:00,105.499
ΣΙΦΝΟΣ,2020-08-08 20:00:00,93.67
ΠΑΤΜΟΣ,2020-08-08 20:00:00,76.64699999999999
ΣΚΥΡΟΣ,2020-08-08 20:00:00,65.87
ΣΥΜΗ,2020-08-08 20:00:00,45.719
ΑΜΟΡΓΟΣ,2020-08-08 20:00:00,46.271
ΣΕΡΙΦΟΣ,2020-08-08 20:00:00,50.167
ΚΥΘΝΟΣ,2020-08-08 20:00:00,48.442
ΑΣΤΥΠΑΛΑΙΑ,2020-08-08 20:00:00,32.395
ΜΕΓΙΣΤΗ,2020-08-08 20:00:00,13.647
ΑΝΑΦΗ,2020-08-08 20:00:00,8.147
ΑΓ ΕΥΣΤΡΑΤΙΟΣ,2020-08-08 20:00:00,4.632
ΕΡΕΙΚΟΥΣΑ ,2020-08-08 20:00:00,5.2170000000000005
ΟΘΩΝΟΙ,2020-08-08 20:00:00,2.815
ΔΟΝΟΥΣΑ,2020-08-08 20:00:00,6.069
ΑΓΑΘΟΝΗΣΙ,2020-08-08 20:00:00,2.983
ΓΑΥΔΟΣ,2020-08-08 20:00:00,2.065
ΑΡΚΙΟΙ,2020-08-08 20:00:00,2.129
ΑΝΤΙΚΥΘΗΡΑ,2020-08-08 20:00:00,1.214
ΚΡΗΤΗ,2020-08-09 20:00:00,10519.46
ΡΟΔΟΣ,2020-08-09 20:00:00,2665.0
ΛΕΣΒΟΣ,2020-08-09 20:00:00,944.128
ΚΩΣ - ΚΑΛΥΜΝΟΣ,2020-08-09 20:00:00,1294.365
ΧΙΟΣ,2020-08-09 20:00:00,636.03
ΣΑΜΟΣ,2020-08-09 20:00:00,389.175
ΘΗΡΑ,2020-08-09 20:00:00,702.0
ΛΗΜΝΟΣ,2020-08-09 20:00:00,216.475
ΜΗΛΟΣ,2020-08-09 20:00:00,205.47
ΚΑΡΠΑΘΟΣ,2020-08-09 20:00:00,132.752
ΙΚΑΡΙΑ,2020-08-09 20:00:00,107.107
ΣΙΦΝΟΣ,2020-08-09 20:00:00,93.398
ΠΑΤΜΟΣ,2020-08-09 20:00:00,78.521
ΣΚΥΡΟΣ,2020-08-09 20:00:00,63.59
ΣΥΜΗ,2020-08-09 20:00:00,49.51
ΑΜΟΡΓΟΣ,2020-08-09 20:00:00,48.32
