dv_agency,dv_platenum_station,dv_validations,dv_route,routes_per_hour,load_dt,date_hour,etl_extraction_dt,etl_load_dt,dv_agency_desc,boarding_disembark_desc
001,UKN,3135,,,2025-05-24 07:54:47,2025-05-24,2025-05-23,2025-05-24,ΟΣΥ,Boarding
002,ΑΓΙΑ ΒΑΡΒΑΡΑ,149,,,2025-05-24 07:55:55,2025-05-24,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΑΓΙΑ ΜΑΡΙΝΑ,323,,,2025-05-24 07:55:55,2025-05-24,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,108,,,2025-05-24 07:55:55,2025-05-24,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΑΓΙΟΣ ΑΝΤΩΝΙΟΣ,279,,,2025-05-24 07:55:55,2025-05-24,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ,491,,,2025-05-24 07:55:55,2025-05-24,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,216,,,2025-05-24 07:55:55,2025-05-24,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΑΓΙΟΣ ΙΩΑΝΝΗΣ,259,,,2025-05-24 07:55:55,2025-05-24,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,228,,,2025-05-24 07:55:55,2025-05-24,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΑΕΡΟΔΡΟΜΙΟ,256,,,2025-05-24 07:55:55,2025-05-24,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
