0,1,2,3,4,5,6,7,8,9,10
001,UKN,3135,,,2025-05-24 07:54:47,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΟΣΥ,Boarding
002,ΑΓΙΑ ΒΑΡΒΑΡΑ,149,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΑΓΙΑ ΜΑΡΙΝΑ,323,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ,108,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΑΓΙΟΣ ΑΝΤΩΝΙΟΣ,279,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ,491,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ,216,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΑΓΙΟΣ ΙΩΑΝΝΗΣ,259,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,228,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΑΕΡΟΔΡΟΜΙΟ,256,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΑΙΓΑΛΕΩ,591,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΑΚΡΟΠΟΛΗ,459,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΑΛΙΜΟΣ,180,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΑΜΠΕΛΟΚΗΠΟΙ,649,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΑΝΘΟΥΠΟΛΗ,286,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΑΝΩ ΠΑΤΗΣΙΑ,204,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΑΡΓΥΡΟΥΠΟΛΗ,181,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΑΤΤΙΚΗ,1426,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΒΙΚΤΩΡΙΑ,581,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΔΑΦΝΗ,439,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΔΗΜΟΤΙΚΟ ΘΕΑΤΡΟ,814,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΔΟΥΚΙΣΣΗΣ ΠΛΑΚΕΝΤΙΑΣ,374,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΕΘΝΙΚΗ ΑΜΥΝΑ,203,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΕΙΡΗΝΗ,75,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΕΛΑΙΩΝΑΣ,77,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΕΛΛΗΝΙΚΟ,397,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΕΥΑΓΓΕΛΙΣΜOΣ,757,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΗΛΙΟΥΠΟΛΗ,175,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΗΡΑΚΛΕΙΟ,234,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΘΗΣΕΙΟ,255,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΚΑΛΛΙΘΕΑ,324,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΚΑΤ,72,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΚΑΤΕΧΑΚΗ,214,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΚΑΤΩ ΠΑΤΗΣΙΑ,307,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΚΕΡΑΜΕΙΚΟΣ,364,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΚΗΦΙΣΙΑ,356,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΚΟΡΥΔΑΛΛΟΣ,496,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΚΟΡΩΠΙ,14,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΜΑΝΙΑΤΙΚΑ,144,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΜΑΡΟΥΣΙ,344,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΜΕΓΑΡΟ ΜΟΥΣΙΚΗΣ,600,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΜΕΤΑΞΟΥΡΓΕΙΟ,285,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΜΟΝΑΣΤΗΡΑΚΙ,1772,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΜΟΣΧΑΤΟ,191,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΝΕΑ ΙΩΝΙΑ,251,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΝΕΟΣ ΚΟΣΜΟΣ,446,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΝΕΡΑΤΖΙΩΤΙΣΣΑ,699,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΝΙΚΑΙΑ,189,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΝΟΜΙΣΜΑΤΟΚΟΠΕΙΟ,259,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΟΜOΝΟΙΑ,1001,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΠΑΙΑΝΙΑ - ΚΑΝΤΖΑ,6,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΠΑΛΛΗΝΗ,22,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΠΑΝOΡΜΟΥ,606,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 3,Boarding
002,ΠΑΝΕΠΙΣΤΗΜΙΟ,618,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΠΕΙΡΑΙΑΣ,723,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΠΕΡΙΣΣOΣ,140,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΠΕΡΙΣΤΕΡΙ,250,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΠΕΤΡΑΛΩΝΑ,234,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΠΕΥΚΑΚΙΑ,122,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΣΕΠOΛΙΑ,257,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ,165,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΣΥΓΓΡΟΥ ΦΙΞ,648,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΣΥΝΤΑΓΜΑ,1886,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 2,Boarding
002,ΤΑΥΡΟΣ,225,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
002,ΦΑΛΗΡΟ,254,,,2025-05-24 07:55:55,2025-05-24 00:00:00,2025-05-23,2025-05-24,ΓΡΑΜΜΉ 1,Boarding
